categoria_grupo,categoria_subgrupo,categoria_item,categoria_subitem
"Alimentação e bebidas,Alimentação no domicílio,""Cereais, leguminosas e oleaginosas"",Feijão - preto"
"Alimentação e bebidas,Alimentação no domicílio,""Cereais, leguminosas e oleaginosas"",Milho (em grão)"
Alimentação e bebidas,Alimentação no domicílio,Enlatados e conservas,Alimento infantil
Alimentação e bebidas,Alimentação no domicílio,Enlatados e conservas,Atum em conserva
Alimentação e bebidas,Alimentação no domicílio,Enlatados e conservas,Azeitona
Alimentação e bebidas,Alimentação no domicílio,Enlatados e conservas,Carne em conserva
Alimentação e bebidas,Alimentação no domicílio,Enlatados e conservas,Coco ralado
Alimentação e bebidas,Alimentação no domicílio,Enlatados e conservas,Cogumelo em conserva
Alimentação e bebidas,Alimentação no domicílio,Enlatados e conservas,Ervilha em conserva
Alimentação e bebidas,Alimentação no domicílio,Enlatados e conservas,Feijoada em conserva
Alimentação e bebidas,Alimentação no domicílio,Enlatados e conservas,Milho-verde em conserva
Alimentação e bebidas,Alimentação no domicílio,Enlatados e conservas,Palmito em conserva
Alimentação e bebidas,Alimentação no domicílio,Enlatados e conservas,Patê
Alimentação e bebidas,Alimentação no domicílio,Enlatados e conservas,Pepino em conserva
Alimentação e bebidas,Alimentação no domicílio,Enlatados e conservas,Salsicha em conserva
Alimentação e bebidas,Alimentação no domicílio,Enlatados e conservas,Sardinha em conserva
Alimentação e bebidas,Alimentação no domicílio,Enlatados e conservas,Sopa desidratada
"Alimentação e bebidas,Alimentação no domicílio,""Farinhas, féculas e massas"",Amido de milho"
"Alimentação e bebidas,Alimentação no domicílio,""Farinhas, féculas e massas"",Farinha de arroz"
"Alimentação e bebidas,Alimentação no domicílio,""Farinhas, féculas e massas"",Farinha de mandioca"
"Alimentação e bebidas,Alimentação no domicílio,""Farinhas, féculas e massas"",Farinha de trigo"
"Alimentação e bebidas,Alimentação no domicílio,""Farinhas, féculas e massas"",Farinha vitaminada"
"Alimentação e bebidas,Alimentação no domicílio,""Farinhas, féculas e massas"",Flocos de milho"
"Alimentação e bebidas,Alimentação no domicílio,""Farinhas, féculas e massas"",Fubá de milho"
"Alimentação e bebidas,Alimentação no domicílio,""Farinhas, féculas e massas"",Macarrão"
